comments;sentiment
ainda estou aguardando o produto , ja tem quase uma mes que fiz a compra;neg
foi boa. lindos amei;pos
loja entregou tudo combinado e com nota fiscal muito bom;pos
"ele realmente puxa o pelo, porem sua alma sai junto, doi muito. a entrega foi dentro do prazo. veio bem embalado. ;";neg
servico de baixa qualidad. recebi o produto errado.comprei um soprador para pet e recebi um bebedouro para pet com a nf em nome de outra pessoa;neg
tapete e fino, mas bonito;pos
recomendo as lojas lannister muito otima a loja;pos
comprei um conjunto de pincas para alongamento de cilios que me deixou extremamente insatisfeita! logo que peguei nas maos vi a pessima qualidade, cheio de defeitos nas pontas das pincas.;neg
gostei muito do vinagre. eu gotei muito do vinagre muito bom pra tomar sabe gente gostei muito desse produto tou feliz sabe por ter comprado esse vinagre de maca organico tou feliz mesmo pela compra gostei muito parabens;pos
excelente.;pos
gostaria de trocar o relogio;neg
otima compra e muito pratica.;pos
bom vendedor. produto entregue no prazo e sem problemas.;pos
lindissimo. o quadro mais bonito que ja vi! entrega agil e tudo muito bem embalado...;pos
lindo;pos
entregou ate antes do prazo;pos
escelente. indicado entrega no prazo muito bom;pos
compra de boneco mineceaf. a loja disse que entregaria em 8 dias entregou em 22 dias;neg
o prazo de entrega e muito extenso. eu nao sei se apareceu antes, mas so vi depois que paguei. o produto chegou vazando.;neg
vlw entregue na data e correto horas.. vlw;pos
nao entregue . comprei um relogio e nao entregou , era previsto pro dia 06/06 , e voltou pra sao paulo;neg
tudo ok tal combinado.;pos
o produto veio com uns pequenos defeitos nada demais, porem me incomodou um pouco.;neg
fui muiro bem atendido.;pos
muito bom produto a recebi bem antes da data marcada.super recomendo!;pos
correu tudo bem, contudo o produto veio danificado. vamos ver como a loja se sai agora.;pos
produto lindo, muito bom, gostei muito. acima do esperado;pos
super recomendo. muito bom. entregue antes do prazo.;pos
eficiencia. otimo produto em otimo prazo de entrega;pos
revom.endo;pos
recomendo. deu tudo certinho;pos
bom produto!;pos
mini gela. ok;pos
o produto chegou dentro do prazo, tudo certo e sem nenhum problema. recomendo a todos!;pos
produto chegou antes do prazo.;pos
perfeito . parabens.;pos
chegou bem antes do prazo em perfeito estado! produto ja testado e aprovado :d;pos
comprei um jogo de 9 pecas e so recebi 5 pecas, esta faltando o jogo da cama, sendo as 2 fronhas o lancou e lencou com elastico, estou aguardando o retorno da atendente para resolver meu poblema!!;neg
ate agora eles so emitiram a nota fiscal e nada do meu produto chegar. pedi em novembro.;neg
muito satisfeito, produto chegou antes do previst maravilhoso...;pos
recomento a loja;pos
ate o momento nao recebi meu produto;neg
amei a lj e o produto foi entregue antes do prazo;pos
foram recebidos tres capas de travesseiros das quatro compradas.;neg
ainda nao consegui montar a cadeira, estou aguardando conseguir alguem para montar. fora isso, esta tudo certo, o produto chegou no prazo.;neg
ate o momento o produto nao foi entregue;neg
dei 3 estrelas pois ainda tenho que instalar o produto e so saberei apos de instalado a qualidade do produto isso demora um tempo;neg
produto bem embalado, chegou rapidamente. recomendado;pos
super recomendo . amei o produto, chegou antes da data prevista para entrega, super amei, super recomendo;pos
dificil de resolver um problema na entrega. comprei 3 itens e foi entregue somente 1 e nao tenho com quem falar. so posso passar email e aguardar resposta.;neg
recomendo a todos;pos
produto cor errada. recebi o produto rapido depois de uma semana da data compra. mas nao veio na cor rosa conforme a minha escolha e a nota fiscal emitida. nao solicitei a troca devido ser presente de aniversario.;neg
bom. chegou antes do previsto.. gostei da eficiencia.;pos
a entrega foi feita antes do prazo e recebi o produto todo ok. a cor nao e muito bonita pessoalmente foi so o que eu nao gostei no produto. mas o material e bom e veio na medida correta.;pos
tudo maravilhoso! atendimento 10;pos
recomendo. e bomcomprtar ns lojas lannister;pos
comprei dois produtos e ambos, mesmo enviados em dias diferentes, estao como em dificuldade na entrega segundo o rastreamento dos correios. o que nunca me aconteceu antes.;neg
pendentes. entrega rapida, produto bonito;pos
porta retratos. otimo produto!!! chegou muito antes da data prevista!!!;pos
otimo;pos
o produto e bom, mas a lannister deve estar fazendo uma promocao as avessas, pois paguei 2 mas recebi so 1, ja fiz a reclamacao no site mas ate agora nada!;neg
a entrega foi demorada mas dentro do prazo.mas a mochila nao e o eu esperava,por ser de marca eu achei muito simples , nao gostei nem um pouco do produto.;neg
recebi apenas um produto.o outro nao .;neg
tenho uma observacao a fazer. a seladora veio com um dos parafusos quebrado.;neg
comprei dois sapatinhos para caes e recebi apenas um. porem, a nota fiscal foi emitida com os dois itens.;neg
produto bom pelo preco . produto bom pelo preco ofertado.;pos
recomendaria a lojas americas, mas nao os terceiros.;neg
produto chegou no prazo e de acordo com a descricao!;pos
produto chegou antes do prazo, mas na foto parece ser maior do que realmente e, mas gostei muito;pos
muito lindinho, chegou no prazo, funciona muito bem amei.;pos
comprei o produto ha tempos e ainda nao recebi. muito demorado.;neg
gostei;pos
recomendo, muito bom!;pos
o produto entregue e diferente do produto anunciado. quero meu dinheiro de vta. quero fazer a devolucao do item;neg
ainda nao recebi minha compra. ja passou do prazo previsto!;neg
muito bom parabens;pos
uma das prateleiras estava torta;neg
entregou bem antes da data prevista..;pos
10. recomendo;pos
chegou muito rapido!!! vou comprar mais vezes!;pos
otimo vendedor. recomendo a todos.;pos
embora o produto estivesse em falta a empresa fez o contato para avisar e cancelou o pedido.;pos
demorou mas dentro do prazo. lannister sempre bem e satisfacao. obrigado;pos
ainda dentro do prazo q me foi dado.no aguardo;neg
recebi somente 1 dos 3 produtos adquiridos e consta no site que a entrega esta finalizada. nao consegui ainda contato com a loja;pos
gostaria de agradecer e mt, me deram 15 dias e chegou com 6, exatamente o que queria, espero que manter o ritmo, ate a proxima;pos
o produto e otimo, lindo do jeito que esta na foto ,a unica questao que deve foi q o produto deu com entregue no site e, so chegou depois de 5 dias ..;pos
10;pos
entrega na data correta, super recomendo!;pos
otimo vendedor!. recomendadissimo;pos
o produto enviado e diferente do produto comprado, solicito a troca do produto.;neg
gosto de comprar no site ,mas nao estou satisfeita pois solicitei a troca da mercadoria mas ate agora nao me enviaram o codico para troca,ei prazo ja esta quase esgotado;neg
otimo produto. gostei muito,acabamento bom,cor bonita so o tamanho que e maior que eu pensava;pos
nao gostei tanto assim do produto.;pos
chegou antes do prazo tudo certo como descrevia o anuncio!;pos
o produto era pra ser entregue dia 19/02. e ate agora nao tive nenhuma satisfacao sobre o produto, ou sobre a entrega. acho uma falta de respeito com o cliente.;neg
adorei, levou apenas dois dias para entregar e veio tudo conforme minha escolha.;pos
recomendo. bom produto, loja cumpre com compromisso;pos
garantia total . entrega antes do prazo;pos
demora na entrega .;neg
lindo o relogio foi exatamente o esperado;pos
produto de excelente qualidade e chegou no prazo correto!;pos
pagamos frete para receber o produto em casa . e mt chato ter que ir nos correios para buscar . nem em area de risco eu moro .;pos
otimo;pos
comprei por um produto, veio outro. agora nao consigo contato com a loja;neg
a loja entregou o pedido correto, bem enbalado e antes do prazo previsto.;pos
recomendo. excelente produto, entrega antes do prazo;pos
lindissimo!!. se eu soubesse tinha comprado o maior,pois ele e um belissimo quadro.;pos
chegou antes do prazo, mas o site do stark nao atualiza a movimentacao da mercadoria. somente quando recebi e que informaram... nao e culpa do vendedor, eu acho.;pos
solicitei 5 frascos e foi entregue apenas 1 frascofeita a reclamacao por telefone e ficaram de enviar;neg
nao recebi o produto!;neg
otimo produto.chegou antes da data prevista.;pos
identico ao da foto, porem muito pequeno o visor, se atentar as descricoes do produto ! produto entregue no prazo, corretamente !;neg
perfeito;pos
o protudo veio errado .;neg
eu gostei de compra na lannister chegou ate antes do prazo eu recomendaria amigos e familiares comprar nesta site pq eles mim ate o dia entregaram muito rapido ne esperava so no dia vinte e sete obri;pos
recebi somente 02 pneus;neg
otimo site...produto veio bem antes do prazo...mto bom;pos
nao entregaram o produto comprado;neg
produto conforme anunciado, de boa qualidade;pos
entrega rapida dentro do prazo, super recomendo;pos
produto bonito, chegou no prazo, recomendo;pos
certissimo !!!. mais uma compra realizada e deu tudo certo, continuo a recomendar a loja com 100 de aceitacao....parabens lannister.;pos
otimo funciona super bem;pos
cumpriu o prometido.;pos
horrivel. nao sei como nos dias atuais ainda existem lojas assim. o prazo de entrega ja e muito extenso. e o maior problema de todos: o item nao foi entregue!;neg
eles fizeram a minha mae assinar uma nf de duas unidades e foi entregue somente uma.;neg
o produto foi entregue no prazo mas eles nao atualizam o rastreamento. constava que estava no mesmo lugar durante dias e os correios sequer sabiam dizer qdo poderia ser entregue.;neg
extremamente insatisfeito com a compra! caixa chegou violada com uma fita adesiva! produto faltando pecas! e com marcas de usao! experiencia desagradavel! infelizmente nao compro mais nada com voces!;neg
produto entregue antes do prazo, como sempre, adoro comprar aqui.;pos
negativa. estou decepcionado com a stark, pois sempre tive otimas recomendacoes e sempre confiei em seus servicos, diante a irresponsabilidade com o prazo de entrega do ultimo pedido estou muito chateado;neg
chegou bem antes do prazo estipulado!;pos
produto fora da embalagem. o produto veio somente na caixa de envio, embalado no saco bolha, com aspecto de produto usado.;neg
nao foi nf. o produto fala que e felpudo e com mais de 4 cm e nao e oque se fala e demorou entrega;neg
entrega antes do prazo...recomendo;pos
chegou tudo certo, antes do prazo;pos
o produto que me enviaram nem se parece com que eu comprei.;neg
entregue no prazo tudo certo, pena que nao seja possivel avaliar o tamanho do produto antes da compra, mas tudo bem!;pos
pessima esta loja nao enttaga o produto;neg
mercadoria nao entregue . sinceramente, nao indicarei a ninguem!!;neg
bom;pos
super recomendo. amei o produto alem de chegar antes do previsto muito lindo super indico amo as lojas lannisterrespeito pelo consumidor;pos
nota 10. muito eficiente e rapidez na entrega do produto.;pos
produto veio com defeito . o produto veio com defeito. solicitei a entrega e nao obtive nenhuma resposta.horrivel;neg
a solicitacao de cancelamento foi feita logo apos a compra, pois o endereco estava antigo e inserido automaticamente pelo site. ate agora estou tendo problemas c isso e sem solucao definitiva;neg
otimo vendedor recomendo a todos.;pos
comprei um produto e recebi outro. a targaryen nao apresenta solucao para o problema. precisei fazer reclamacao no site reclame aqui, mas ainda nao obtive retorno. targaryene: sinonimo de aborrecimento.;neg
super recomendo.. otimo produto.;pos
absurdo comprar um produto e ele nao estar disponivel;neg
impressora nao reconhece. entao a minha hp deskjet ink advantage 2676 nao imprimi com esses cartuchos, ela imprime a pagina de teste mas depois disso ela bloqueia, por isso decidi solicitar devolver o produto;neg
os pneus que eu comprei so veio dois dos quatro que eu comprei;neg
otimo;pos
a empresa e falha;neg
tudo excelente;pos
compra recebida!;pos
entrega antes do prazo;neg
o produto chegou com a caixa amacada... como se tivessem colocado algo em cima dela. no entanto, sem avarias, mas negligencia com o produto.;neg
pessimo.;neg
encomendei 5 mapas, mas so recebi 4.;pos
recomendo. recomendo;pos
gostei so achei pequena.;neg
bom.. gostei muito do atendimento, levando em conta a pontualidade. o unico problema e que as pilhas nao eram compativeis. eu recomendo o produto.;pos
perfeito. entrega muito antes do prazo! parabens;pos
recomendo. perfeito,tudo ok;pos
pedido veio faltando item. nunca tive problema com as lojas lannister. por isso optei em comprar com vcs. mas infelizmente nao atendeu minhas expectativas.;neg
gosto de comprar no baratheon,compro a muito tempo. quanto ao produto nao e bem o que eu esperava, pensei que era melhor.;neg
otimo produto e entregue dentro do prazo estabelecido.;pos
atraso na entrega, nao recomendo a loja pois existe melhores no mercado.;neg
eu solicitei uma forma de bolo para uma fritadeira eletrica, e na descricao na compra informou o modelo da fritadeira no site, mas me entregaram uma forma minuscula para outro tipo de fritadeira.;neg
apesar do modelo ser compativel com a impressora, a mesma nao aceita o tonner. realizei um teste com o tonner que comprei em outro lugar, este tambem, phaser 3040, e a impressora leu normalmente.;neg
muito rapido. chegou antes do previsto, amei e recomendo;pos
muito bom;pos
produto veio errado . comprei o kit de 3 pecas, cobre leito com capa de travesseiro, so recebi o cobertor e na cor errada.;neg
recebi corretamente.;pos
recebi antes da data de entregue otimo.;pos
gostei muito foi rapido .e vou comprar novamente.;pos
o material e excelente,simples,acabamento razoavel,flexivel, entregue no ultimo dia do prazo valido por 3 semanas. no entanto quero devolver o produto por nao responder com a expectativa;neg
otima;pos
a capa na verdade e um edredon bem fino. comprei para proteger do xixi do meu cao. nao resolveu, pois o liquido foi absorvido e atingiu o sofa.;neg
me surpreendeu positivamente qualidade tamanho os vizinhos ficaram com inveja rsrsrs parabens pela pontualidade chegou bem antes do prazo;pos
veio faltando uma carteir. veio faltando uma carteira e querendo saber como vai fica;neg
atenciosos, bom produto e pontual;pos
10. bom;pos
o relogio e bom, porem a pulseira dele e muito fragil e ja veio com uma manchinha.;neg
o produto me foi entregue antes do prazo previsto e em perfeitas condicoes. estou muito satisfeito.;pos
otimo . o produto chegou antes da data prevista.;pos
entrega no tempo previsto.gostei muito,sao bem feito.;neg
foi entregue apenas metade do pedido, ou seja, 2 conjuntos de xicaras ao inces de 4... ja fiz a reclamacao no site do baratheon e ate agira nao me deram retorno...peco uma posicao ou tomarei as medidas;neg
1o produto foi entregue de acordo com o solicitado.obrigado.;pos
10. tenho que agradecer pele rapidez como foi entregue;pos
foi td mt bom.recomendo;pos
adoro comprar? na lannister.com excelente lojas. estao de parabens!;pos
a melhor loja;pos
adorei, amei e super lindo. muito bem acabado e resistente. superou minhas expectativas.;pos
pratico e bom produto;pos
uma merda. o produto veio totalmente errado. ainda nao tive retorno da minha mensagem sobre a devolucao do meu dinheiro.;neg
o produto foi encomendado em dezembro, com previsao maxima de entrega para 06/01. nao recebi o produto nem recebi nenhuma satisfacao acerca do problema.;neg
lucileudo firmino sousa;pos
o produto entregue foi realmente o solicitado, prazo de entrega foi o informado.;pos
10;pos
nao gostei do tecido do produto, mais foi erro meu, deveria ter visto isso antes da compra;neg
o produto veio bem embalado, integro. me surpreendi!! nao faz barulho! apenas achei algumas pecas de plastico um pouco frageis. poderiam ser mais resistentes. mas o produto e muito bom.;pos
satisfacao da compra. so nao gostei do acabamento do produto, no mais tudo certo... obrigado.;pos
recomendo com empenho. ainda nao testei todas as funcionalidades do produto, mas aparentemente tudo esta de acordo, vou testar e posteriormente concluo. o relogio foi entregue em tempo recorde.;pos
a entrega foi rapida antes do prazo estipulado.muito satisfeita.;pos
eu recomendo , gostei;pos
merda de loja nao entregou meu pedido;neg
o rastreio do correio disse que o produto saiu do pr mas nao chegou ao es. ja reclamei por email mas nao tive resposta. ja se passaram 12 dias do prazo de entrega e ainda nenhum retorno.;neg
gostei muito do produto, recomendo .;pos
a imagem e de otima qualidade, a embalagem muito bem feita...a entrega super rapida...ficaram lindas na minha casa!valew!;pos
achei que demorou demais a entrega pelo tempo da compra.;neg
o prazo de entrega poderia ter sido um pouco menor.;pos
nao chegou. o produto nao chegou.;neg
tudo ok.;pos
o produto foi entregue sim, inclusive antes do prazo. veio exatamente o que escolhi, mas o produto veio com falha, parecendo ate que ja tinha sido usado. deveriam ter mais cuidado e embalar melhor.;neg
produto muito ruim nao recomendo;neg
surpreendeu. entrega muito antes do prometido, por isso comprar aqui e surpreender o cliente.;pos
veio na cor marrom e nao preta. bem simples e leve.;neg
perfeito;pos
5 estrelas. muito bom recomendo.;pos
chegou rapido. boa entrega;pos
comprei 2 celular e so madarm 1, e nato fiscal comprando os dois;neg
klc;pos
excelente compra.. vendedor otimo em honestidade e dignidade, atendimento impecavel, voltarei a comprar grato.;pos
gostei, era realmente oq esperava, chegou bem antes do prazo!;pos
produto bom . esperava que fosse maior! mas e muito bonito. recomendo.;pos
entraga antes do prazo!! material excelente!!;pos
chegou so a base do bebe conforto;neg
bom produto;pos
bom. otimo, entregar no prazo.;pos
ola, me senti segura e recebi meu produto rapido.parabens pelo profissionalismo!;pos
nao chegou no prazo . nao recebi. passou o dia de entrega.;neg
produto otimo,entrega super rapida,super indico;pos
recebi mais nao esta funcionando;neg
muito satisfeita com o site. preco em conta e entrega rapida. estao de parabens!;pos
foto diferente do produto. foto diferente do produto, quero a troca ou a devolucao do dinheiro;neg
super recomendo. veio antes do prazo! parabens!!!;pos
o produto chegou antes do prazo, bem embalado, porem depois de montado o portao fica torto, talvez foi no transporte que danificou e entortou o produto;neg
excelente;pos
na descricao do produto, ele informa que e faixa adesiva para parede, porem quando chegou ele nao e adesivo pedindo para procurar quem instale!;neg
produto bom atende o que eu preciso, nao testei ainda o carregamento da bateria por energia solar.;pos
dia 22/02 tive que buscar o.livro nos correios e so veio um livro  manual de treinamento comportamental o outro  treinamento comportamental nao veio e na nota fiscal esta constando os dois.;neg
eu quero meu cartao da loja, ou nao comprarei mais na loja.;pos
que tapete mais liiiindoo!!! perfeito. leve e lindo demais. felpudo!!!;pos
produto entregue no prazo;pos
muito rapido;pos
a boneca que comprei simplesmente chegou dps do natal...o prazo era 3 de janeiro..so q tudo que ja comprei nao demorou nem 10 dias p entrega eu arrisquei...dessa vez me decepcionei com a compra;neg
nao posso avaliar, sem ter recebido;neg
produto de baixa qualidad. produto de baixa qualidade, na foto engana bem, bota esquerdo nao tem funcao, o digital somente funciona se vc aperta um dos dois botoes da direita e logo apaga, instrucao em ingles e chines.;neg
bom. a capa esta ok;pos
boa tarde, eu recebi no dia 2/04 apenas o mobile, a saia nao veio na entrega. como podemos resolver isso? o que aconteceu?;neg
otima compra.entrega antes do previsto.parabens lojas lannister pelo compromisso e sensatez com seus clientes.grata;pos
recebi o pedido faltando 1 intem colar lol kindred os cacadores eternos league of legends azu, gostaria que o problema fosse resolvido.;neg
e bastante seguro pra mim e nota dez, muito obrigado.;pos
pensei que fosse maior. tambem achei o inox diferente. passei a esponja e saiu um pouco, descascou.;neg
super maximo recomendo. linda carteira do jeito que queria;pos
adorei o produto e a entrega foi rapida;pos
tudo ok.;pos
entrega no prazo. como todas as compras que fiz pela lannister.com .;pos
produto foi entregue no prazo otima qualidade;pos
o produto chegou no prazo correto.;pos
comprei dois itens iguais, so veio um!;neg
vendedor prestativo. chegou no prazo, segui as informacoes, e tudo certo;pos
excelente!. perfeito, comprarei novamente;pos
nao esperava que viesse tao rapido apenas os correios nao cumpriram corretamente pois tive que busca-la na agencia.agradecosem mais ivo pitta;pos
o jogo americano mostrava que eram dois guardanapos, veio apenas um. colocaram um livro que eu nao havia pedido.;neg
nao recebi ainda. nao recebi o produto ainda;neg
entrega dentro do prazo e produto perfeito.;pos
o produto nao chegou;neg
remcomendo. muito bom;pos
muito demorado para fazer o estorno do dinheiro,para comunicar que o produto nao esta disponivel, fiquei muito chateada, desorganizado.gostaria que fizessem o meu estorno o quanto antes e que isso na;neg
transportadora merda. a loja escolheu os correios como transportadora. paguei frete pelo produto, pra o carteiro nao ir ao local e colocar no sistema que foi e nao tinha ninguem. achei ridiculo isso!;neg
muito boa . excelente;pos
realizei a compra com quase um mes de antecedencia e o vencedor foi postar o produto com menos de uma semana para o prazo de entrega. alem de realizar perguntar se estava tudo ok e nao ser respondido.;neg
otimo . gostei de todo atendimento, so nao gostei de ter que retirar no correio longe da minha casa, poderia ter entregado no correio mais proximo de casa.;pos
recebi o produto bem embalado;pos
o produto e razoavel, mas ouve um problema, a grelha estava mau soldada, tive que corrigir esta peca.;neg
ficou faltando um kit do produto, os pendente menores vieram certo os maiores ficaram faltando.;neg
o produto veio na caixa com manual e garantia. a embalagem de transporte era adequada, sinalizada como fragil e veio com a nota fiscal. perfeito.;pos
me mandaram a antena com marca errada ,, ela nao e pro eletronica mas de outa marca inferior a pro eletronica ,,veio com parafuso borboleta , qundo fui apertar , aborboleta espanou ...;neg
produto bom, so achei pequeno.;neg
entregue no prazo.;pos
novamente nao recebi atualizacao de onde estava minha encomenda isso e muito ruim;neg
entrega rapida.;pos
entrega feita antes do prazo , produto de qualidade , otima prestacao de servico ao cliente .;pos
preciso saber se existe um prazo para receber meu produto ou se meu pedido sera cancelado?;neg
o produto foi entregue bem antes do previsto e ainda veio com um cabo extra de brinde!;pos
muito bom;pos
otimo produto.;pos
servico perfeito produto chegou antes do prazo determinado parabens;pos
recomendo. tudo conforme combinado;pos
chegou certinho antes do prazo recomendo a todos;pos
otimo produto. otima qualidade;pos
fiquei decepcionada por achar que era mais resistente, mais por conta do preco mesmo. da pra usar tranquilo.;neg
comprei dois filtros.... comprei dois filtros e a embalagem chegou com apenas um filtro... e o outro?;neg
veio tudo certo ! so achei que a mochila fosse maior.;pos
a melhor nota. o baratheon e esxelente amo adoro o baratheon;pos
muito bom fazer compras no stark;pos
otimo;pos
nota 10;pos
ok, chegou perfeito..;pos
entrega correta. satisfeita;pos
eu comprei um produto e me enviaram outro, comprei capa e pelicula para o redmi note 4x, e mandaram para o redmi note 4, que e incompativel.indignacao, com a falta de compromisso.;neg
gostei muito parabens;pos
produto excelente.entregue antes do prazo.super recomendo.;pos
entrega rapida;pos
demorou um pouquinho porque fica-se ansioso pra que chegue logo. mas foi dentro do prazo. tudo ok.;pos
super recomendado;pos
produto entregue no prazo. entrega rapida, e produto em perfeito estado.;pos
recomendo. produto atendeu todas as expectativas e chegou bem antes do prazo.;pos
oi boa noite - ainda falta 01 item da compra feita.;neg
excelente;pos
excelente atendimento, recomendo.;pos
recomendo. recebi antes do prazo;pos
nao foi entregue ainda to aguardando.;neg
foi entregue antes do prazo adorei;pos
bom. produto original. entregue o codigo e o office foi baixado da pagina da microsoft. facil instalacao.;pos
muito bom. mas que recomendo;pos
amei o produto. produtos maravilhosos;pos
devolvido ao correio por engano da portaria;pos
tavaliacao da entrega car. adquiri 4 cartuchos 41 canon e recebi somente 2 ate o momento.;pos
nao estou satisfeito com o atendimento da targaryen,nao recebi a mia encomenda, e esta marcado como entregue.;neg
produto original e entrega super rapida.recomendo.;pos
adorei a bolsa! bonita e veio bem embalada.;pos
linda demais. do jeito que queria ! entrega super rapida. nota 10;pos
o produto e otimo,e estou muito feliz,e ele chegou bem antes do prazo,parabens.;pos
otimo;pos
otimo;pos
eu ate recebi alguns dos produtos, porem faltou 1 oleo junto com o kit que comprei;neg
nao recebi o produto;neg
shiow;pos
no dia 24/11 efetuei uma compra de 2 bonecas, o prazo para entrega esta marcado p/ dia 19/12, porem recebi somente 1. e estou tendo dificulades de falar com o setor responsavel p/ tirar a duvida.;neg
foi enviado um produto que nao corresponde em absolutamente nada com oque comprei.com fortes indicios do engano ser proposital.nem mesmo em sites de televendas menos expressivos, ocorreu tal fato.;neg
nota 10;pos
poderia ser melhor;neg
rrecomendo. o produto estava de acordo com o anuncio.;pos
recomendo;pos
nao recebi o produto.;neg
o produto e falso, ridiculo!;neg
nao recomendo porque ate o momento nao recebi meu produto,nem tive nenhuma informacao da empresa responsavel;neg
nao sei nao recebi;neg
entreguei antes do prazo recomendo o produto.;pos
ainda estou aguardando a terceira unidade. so vieram duas unidades amarradas por um barbante em embalagens individuais. eu acho que deveriam entregar todos os produtos em uma unica entrega.;neg
recomendo com ressalvas. veio com uma peca quebrada, nada grave talvez na embalagem nao tiveram cuidado;neg
otimo;pos
carteira de otima qualidade, so achei ela grande, mas fora isso, ela e linda e tem um designer legal!;pos
entrega rapida;pos
hoje dia 22/06/17 nao recebi meu pedido, sendo que no site da lannister informe que a encomenda foi entregue no dia 18/06/17, nao sei o que esta acontecendo favor verificarem com seu representante ,;neg
produto de ma qualidade;neg
o tecido e grosso parece mais organza 1ue cetim....nao gostei o acabamento tambem e muito ruim.;neg
adorei,pena que as contas sao muito miudas;pos
produto com defeito. comprei duas cadeiras, uma o assento n encaixa corretamente e a outra veio sem as borrachinhas para acabamento;neg
o prazo de entrega nao foi cumprida e so comprei para dar de presente para uma mae que esta prestes a ganhar bebe. so comprei pelo site por conta da data de entrega 19/05, tera o parto sem a bolsa.;neg
gostei vem simples ....mas achei mt bonita e bem acabada.;neg
muito bom;pos
sujoer recomendo!. produto dentro do que eu esperava.;pos
satisfeita com o atendimento;pos
cumpriu com o pro;pos
comprei o produto no dia 19/01 apos 30 dia eu ainda nao recebi meu produto. demora demais pra entregar, se tive comprado da china ja estaria aqui.;neg
o controle remoto nao funciona e ai.recomendo a loja se resolver meu problema ou o controle e so enganacao mesmo.;neg
recomendo!. produto chegou direitinho e antes, muuuito antes do prazo! superou minhas expectativas!;pos
muito bom . boa;pos
muito bom, recebi varios dias antes do prazo determinado, tudo embalado em plastico bolha, muito seguro.;pos
confiavel;pos
cortinas de boa qualidade e com preco bom. gostei ?;pos
entrega atrasou um pouco mas pouca coisa. produto dentro do esperado. recomendado.;pos
muito boa;pos
eu compraria denovo;pos
ao acompanhar o pedido pelo site, houve um erro nas informacoes, sendo que a entrega do celular constava dia 06/12, mas na realidade foi entregue depois, dia 08/12.;pos
pessima compra . recebi um produto velho;neg
envio rapido.;pos
pessimo;neg
os correios atrasaram.;pos
fiquei na duvida se o produto e original ? a fixacao e diferente do que comprei no eua.;neg
foram comprados dois produtos e foi entregue um de cada vez;neg
comprei o produto, passou mais de um mes nao recebi. com muitas tentativas via telefone, e-mail nao tive retorno de protocolo de cancelamento e nenhuma posicao. deixou muito a desejar.;neg
boa compra. boa compra, agora so acompanhar os resultados;pos
muito bom recomendo!;pos
parabens;pos
recebi no prazo e o produto e de boa qualidade.;pos
ate a data de hoje nao foi entregue pois fui ate uma das lojas de vcs pea pedir uma solucao nem o atebtende sobre me responder fizeram pra mim eu de bobo eu confiei na lojas aguardo resposta;neg
preciso que entre em contato comigo, estou com duvidas, sobre minhas compras.;neg
recomendo;pos
so achei que o relogio e muito pequeno, porem bonito.;neg
cadeira com medidas menores da padrao!;neg
ruim. comprei 2 kits de luminaria e so foi entregue 1, mas a nota esta cobrando os dois, mais a fita de led q foi para o correio muito longe da minha casa.;neg
o produto chegou perfeito, otima qualidade, so que e do menor!;pos
as correntes sao boas, e o material tambem.a corrente e grossa, servindo para masculino e feminino;pos
entrega muito rapida e o produto veio muito bem embalado.;pos
super recomendo, otimo;pos
ainda nao testei, porem o site da hp confirmou a originalidade.;neg
o produto e exatamente igual a foto q ue eu vi no site;pos
veio no tamanho errado, minha tenda e nautika 3x3 portanto precisa ser trocada;neg
so tive um problema pois a mochila foi entregue com um lacre q n estou conseguindo remover. e aquele tipo de lacre q apita na saida de lojas.;pos
cobertor .;pos
entrega rapida, bom produto. conforme anuncio;pos
satisfeita!. recomendo este parceiro. entregue bem embalado e antes do prazo previsto. so estranhei nao vir com um panfleto ou manual ilustrativo com especificacoes/descricoes do produto.;pos
confianca, , . adoro comprar aqui.tenho o que necessito, em prazo minimo. e de se ressaltar o zelo dos funcionarios na embalagem dos produtos , e no trato com os clientes. nota mil !;pos
recebi tudo correto me surpreendeu a entrega muito rapida estou satisfeito com a loja.;pos
. gostei muito da loja, entregou antes do prazo estipulado!!;pos
o celular nokia que deveria ser novo chegou sem lacre e sem a pelicula de protecao na tela, o que indica ja ter sido usado. alem disso, o produto nao funciona, pois nao reconhece nenhum chip.;neg
produto chegou antes do prazo, bem emabalado e tem otima qualidade.;pos
nao recebi a saida maternidade vermelha q comprei.colocaram apenas na nota , mas recebi um outro qquer, com a cor horivel.ja liguei varias vezes e ninguem me atente .acho q vou ter q ir no procon.;neg
entrega rapido . tudo ok;pos
produto de pessima qualidade;neg
muito antes do previsto!;pos
otima loja!!. poderiam mandar os produtos tudo junto num mesmo frete, assim economizariamos na entrega, tirando isso, foram muito atenciosos e recomendo a todos!!;pos
a versatilidade e a logistica sao componentes da equipe do baratheon. muito bom.;pos
chegou antes do prazo e em perfeito estado;pos
entrega no prazo e o produto exatamente o que havia visualizado e comprado. tudo cem por cento. todas as caracteristicas divulgada do produto corresponderam. muito bem embalado e fiquei 100 satisfeit;pos
tudo ok;pos
nao recebi certo. o produto que recebi veio incorreto;neg
produto com bom acabamento.;pos
otimo produto, chegou antes da data prevista.;pos
gosto de comprar com voces;pos
produto nao chegou mas bem provavel que e por causa da deficiencia dos correios;neg
produto de qualidade,tive problema na entrega porem foi tudo resolvido em 24hs;pos
recebi uma parte da compra,isto e, comprei 2 produtos e so recebi 1,porem a nota fiscal veio discriminando 2 produtos;neg
